totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
1000;0;2387;0;172168;
2000;0;2237;0;172394;
3000;0;2428;0;170746;
4000;0;2701;0;168811;
5000;0;4710;0;159437;
6000;0;8481;0;142754;
7000;0;12770;0;132171;
8000;0;15668;0;124287;
9000;0;18673;0;116787;
10000;0;20524;0;114057;
11000;0;22071;0;110297;
12000;0;24521;0;105081;
13000;0;25407;0;102135;
14000;0;27886;0;95826;
15000;2;29327;0;95637;
16000;3;31793;0;89726;
17000;5;34793;0;83994;
18000;18;36082;0;83073;
19000;25;38803;0;76806;
20000;24;39335;0;76962;
21000;38;40668;0;74837;
22000;45;42524;0;70511;
23000;67;44073;0;67990;
24000;72;44077;0;70974;
25000;103;45236;0;69947;
26000;109;47529;0;63408;
27000;123;46565;0;69264;
28000;134;46902;0;66344;
29000;161;48994;0;66300;
30000;166;49163;0;65029;
31000;182;50131;0;63376;
32000;192;49328;0;65645;
33000;184;49872;0;64980;
34000;227;50848;0;61778;
35000;234;49420;0;65087;
36000;245;50264;0;65989;
37000;261;51290;0;63404;
38000;250;51254;0;64936;
39000;284;51801;0;63457;
40000;301;53793;0;58493;
41000;292;50537;0;66619;
42000;304;52599;0;60820;
43000;312;52268;0;61695;
44000;309;52835;0;59915;
45000;325;55200;0;58765;
46000;353;54467;0;59101;
47000;355;52646;0;63068;
48000;326;53302;0;61920;
49000;345;54250;0;60136;
50000;367;54484;0;61744;
51000;340;54353;0;60172;
52000;365;54927;0;57717;
53000;388;55930;0;56251;
54000;366;55248;0;59890;
55000;394;56438;0;56281;
56000;381;54585;0;59711;
57000;395;55705;0;56516;
58000;425;56672;0;55133;
59000;366;55033;0;59455;
60000;395;56401;0;56339;
61000;418;57163;0;55186;
62000;436;56514;0;55216;
63000;425;57538;0;55174;
64000;415;54910;0;59172;
65000;424;56773;0;55976;
66000;413;54620;0;59667;
67000;435;56078;0;57590;
68000;431;56595;0;55819;
69000;434;56189;0;57647;
70000;438;55488;0;58499;
71000;440;56334;0;56877;
72000;399;53614;0;62324;
73000;439;57966;0;53219;
74000;443;56618;0;56239;
75000;448;56550;0;56245;
76000;446;56805;0;55402;
77000;427;54520;0;61492;
78000;456;57858;0;55010;
79000;466;57333;0;55605;
80000;469;58166;0;53211;
81000;482;58750;0;51739;
82000;468;56212;0;56425;
83000;475;57390;0;53694;
84000;444;56099;0;57182;
85000;459;57291;0;56669;
86000;458;57203;0;54467;
87000;467;58086;0;52868;
88000;461;57298;0;54814;
89000;443;57876;0;54169;
90000;494;58420;0;51588;
91000;469;57487;0;52503;
92000;460;57645;0;56271;
93000;468;56780;0;56579;
94000;487;60601;0;48414;
95000;475;59088;0;51484;
96000;493;59324;0;53299;
97000;489;59605;0;50400;
98000;475;57484;0;55574;
99000;466;56424;0;57683;
